extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,5119-10,32769,2,71247,2026-06-13T20:23:54Z,-23.58653525,-46.69416725,20.13,84,nublado
20260613_172405,5119-10,32769,2,71171,2026-06-13T20:23:43Z,-23.551664000000002,-46.6372965,20.13,84,nublado
20260613_172405,5119-10,32769,2,71662,2026-06-13T20:23:56Z,-23.557312625,-46.64069025,20.13,84,nublado
20260613_172405,5119-10,32769,2,71125,2026-06-13T20:23:43Z,-23.6436775,-46.7337815,20.13,84,nublado
20260613_172405,5119-10,32769,2,71426,2026-06-13T20:23:22Z,-23.58503825,-46.6762775,20.13,84,nublado
20260613_172405,5370-10,34210,2,61320,2026-06-13T20:23:59Z,-23.659385,-46.70405825,20.13,84,nublado
20260613_172405,5370-10,34210,2,61660,2026-06-13T20:23:43Z,-23.617021125,-46.67492475,20.13,84,nublado
20260613_172405,5370-10,34210,2,61341,2026-06-13T20:23:24Z,-23.698055749999998,-46.701179749999994,20.13,84,nublado
20260613_172405,5370-10,34210,2,61646,2026-06-13T20:23:21Z,-23.689815000000003,-46.701563750000005,20.13,84,nublado
20260613_172405,5370-10,34210,2,61661,2026-06-13T20:23:58Z,-23.594691625000003,-46.653908,20.13,84,nublado
20260613_172405,5370-10,34210,2,61735,2026-06-13T20:23:24Z,-23.76714475,-46.71695750000001,20.13,84,nublado
20260613_172405,3021-10,276,1,51112,2026-06-13T20:23:20Z,-23.581701499999998,-46.553227750000005,20.13,84,nublado
20260613_172405,856R-10,1428,1,82704,2026-06-13T20:23:44Z,-23.669865,-46.719399249999995,20.13,84,nublado
20260613_172405,856R-10,1428,1,82751,2026-06-13T20:23:49Z,-23.526072,-46.6883395,20.13,84,nublado
20260613_172405,856R-10,1428,1,82620,2026-06-13T20:23:44Z,-23.669694,-46.71912525,20.13,84,nublado
20260613_172405,856R-10,1428,1,82742,2026-06-13T20:23:22Z,-23.536883000000003,-46.68538875,20.13,84,nublado
20260613_172405,856R-10,1428,1,82624,2026-06-13T20:24:03Z,-23.671058625,-46.71586375,20.13,84,nublado
20260613_172405,856R-10,1428,1,82773,2026-06-13T20:23:58Z,-23.59147325,-46.6727035,20.13,84,nublado
20260613_172405,856R-10,1428,1,82701,2026-06-13T20:23:32Z,-23.669865,-46.719399249999995,20.13,84,nublado
20260613_172405,856R-10,1428,1,82706,2026-06-13T20:23:36Z,-23.669694,-46.71912525,20.13,84,nublado
20260613_172405,778R-10,509,1,81512,2026-06-13T20:23:49Z,-23.535300999999997,-46.64457,20.13,84,nublado
20260613_172405,778R-10,509,1,81504,2026-06-13T20:23:49Z,-23.53984075,-46.64642825,20.13,84,nublado
